model,ELBO_mean,ELBO_std,IWAE_mean,IWAE_std
partA_flow_v1,-134.88014068603516,0.655174307582359,-27.26564292907715,2.713104561435518
partA_vampPrior_v1,-134.0040542602539,0.28700525138051014,-28.831385612487793,1.7635108024347212
partA_Gaussian_v1,-135.0041763305664,0.3983312302669573,-29.4039400100708,2.950717953041902
partA_gmm_v1,-134.07841796875,0.4050758451072997,-29.12154026031494,2.1038608119788225
